game_id,filename,bytes,n_frames,gameId_field
895610395,battle_895610395.json,320088,699,895610395
895610396,battle_895610396.json,336972,737,895610396
895610435,battle_895610435.json,361068,733,895610435
895610436,battle_895610436.json,273751,557,895610436
895610640,battle_895610640.json,269343,575,895610640
895610641,battle_895610641.json,320630,687,895610641
895610864,battle_895610864.json,302295,639,895610864
895610866,battle_895610866.json,320465,677,895610866
895610925,battle_895610925.json,231535,499,895610925
895610926,battle_895610926.json,181188,393,895610926
895610970,battle_895610970.json,196678,415,895610970
895610972,battle_895610972.json,281952,599,895610972
895611020,battle_895611020.json,141520,305,895611020
895611021,battle_895611021.json,143548,311,895611021
895611035,battle_895611035.json,200733,437,895611035
895611036,battle_895611036.json,317294,691,895611036
895611054,battle_895611054.json,180902,369,895611054
895611055,battle_895611055.json,137394,281,895611055
895611068,battle_895611068.json,324386,703,895611068
895611069,battle_895611069.json,329498,709,895611069
895611114,battle_895611114.json,262573,501,895611114
895611115,battle_895611115.json,205902,395,895611115
895611175,battle_895611175.json,137215,299,895611175
895611176,battle_895611176.json,152769,333,895611176
895611204,battle_895611204.json,231607,495,895611204
895611205,battle_895611205.json,193914,411,895611205
895611245,battle_895611245.json,254296,553,895611245
895611246,battle_895611246.json,323893,699,895611246
895611270,battle_895611270.json,497388,1001,895611270
895611271,battle_895611271.json,383907,773,895611271
895611344,battle_895611344.json,327736,721,895611344
895611345,battle_895611345.json,201998,441,895611345
895611393,battle_895611393.json,233546,487,895611393
895611394,battle_895611394.json,256619,533,895611394
895611455,battle_895611455.json,175368,375,895611455
895611456,battle_895611456.json,262093,559,895611456
895611508,battle_895611508.json,208239,439,895611508
895611509,battle_895611509.json,237386,503,895611509
895611519,battle_895611519.json,316447,677,895611519
895611520,battle_895611520.json,296922,639,895611520
895611547,battle_895611547.json,218252,469,895611547
895611548,battle_895611548.json,320582,681,895611548
895611569,battle_895611569.json,179649,391,895611569
895611570,battle_895611570.json,228486,495,895611570
895611586,battle_895611586.json,145951,317,895611586
895611587,battle_895611587.json,98422,213,895611587
895611613,battle_895611613.json,243129,465,895611613
895611614,battle_895611614.json,354135,671,895611614
895611636,battle_895611636.json,140112,301,895611636
895611637,battle_895611637.json,93061,201,895611637
895611657,battle_895611657.json,263945,565,895611657
895611658,battle_895611658.json,154674,329,895611658
895611883,battle_895611883.json,208853,445,895611883
895611884,battle_895611884.json,189755,403,895611884
895611922,battle_895611922.json,222139,485,895611922
895611923,battle_895611923.json,103911,227,895611923
895612016,battle_895612016.json,252251,545,895612016
895612017,battle_895612017.json,220404,477,895612017
895612139,battle_895612139.json,116464,249,895612139
895612140,battle_895612140.json,146949,313,895612140
895612195,battle_895612195.json,231004,499,895612195
895612196,battle_895612196.json,373453,809,895612196
895612278,battle_895612278.json,250307,547,895612278
895612279,battle_895612279.json,294452,637,895612279
895612354,battle_895612354.json,209279,447,895612354
895612355,battle_895612355.json,186598,401,895612355
895612447,battle_895612447.json,207882,457,895612447
895612448,battle_895612448.json,255111,557,895612448
895612475,battle_895612475.json,271620,539,895612475
895612476,battle_895612476.json,222445,443,895612476
895612492,battle_895612492.json,181241,397,895612492
895612493,battle_895612493.json,151027,331,895612493
895612520,battle_895612520.json,306805,621,895612520
895612521,battle_895612521.json,306686,621,895612521
895612553,battle_895612553.json,173787,377,895612553
895612554,battle_895612554.json,125266,271,895612554
895612575,battle_895612575.json,197504,405,895612575
895612576,battle_895612576.json,165238,339,895612576
895612633,battle_895612633.json,329211,715,895612633
895612634,battle_895612634.json,355199,773,895612634
895612669,battle_895612669.json,352165,765,895612669
895612670,battle_895612670.json,425387,919,895612670
895612733,battle_895612733.json,211759,463,895612733
895612734,battle_895612734.json,121444,263,895612734
895612752,battle_895612752.json,255009,555,895612752
895612753,battle_895612753.json,219370,479,895612753
895612787,battle_895612787.json,301788,657,895612787
895612788,battle_895612788.json,281753,619,895612788
895612833,battle_895612833.json,165801,363,895612833
895612834,battle_895612834.json,291227,635,895612834
895612860,battle_895612860.json,215215,463,895612860
895612861,battle_895612861.json,173203,371,895612861
895612890,battle_895612890.json,379569,827,895612890
895612891,battle_895612891.json,282262,613,895612891
895612937,battle_895612937.json,158266,341,895612937
895612938,battle_895612938.json,101665,219,895612938
895612963,battle_895612963.json,316734,607,895612963
895612964,battle_895612964.json,341429,651,895612964
895612999,battle_895612999.json,222963,483,895612999
895613000,battle_895613000.json,227755,495,895613000
